gene_name,utr5_cpm,utr5_ai_rate,utr5_m6a_rate,utr5_unmod_rate,utr3_cpm,utr3_ai_rate,utr3_m6a_rate,utr3_unmod_rate,exon_cpm,exon_ai_rate,exon_m6a_rate,exon_unmod_rate,intron_cpm,intron_ai_rate,intron_m6a_rate,intron_unmod_rate,utr5_either_rate,utr3_either_rate,exon_either_rate,intron_either_rate,total_ai_rate,total_m6a_rate,total_either_rate,total_cpm
AZIN1,170.509536,0.084891,0.214964,0.703467,8553.550469666667,0.063198,0.230168,0.707257,367.23583299999996,0.055253,0.198308,0.747776,19.035285333333334,0.077064,0.230778,0.695805,0.299855,0.293366,0.25356100000000004,0.307842,0.0701015,0.2185545,0.288656,2277.582781
TMEM230,62.01550366666667,0.049856,0.178171,0.771973,8605.712462333333,0.059552,0.162571,0.779177,3168.4444443333336,0.064996,0.139127,0.797949,21.810799,0.064486,0.21041,0.726382,0.22802699999999998,0.222123,0.204123,0.27489600000000003,0.0597225,0.17256975,0.23229224999999998,2964.495802333334
ZNF429,120.22357699999999,0.060088,0.203247,0.739343,71.198661,0.048881,0.210471,0.742166,16.903479,0.02774,0.116282,0.855978,8.655852333333334,0.056861,0.237235,0.707888,0.263335,0.25935199999999997,0.14402199999999998,0.294096,0.048392500000000005,0.19180875,0.24020124999999998,54.245392333333335
PPM1B,23.952096,0.007487,0.184896,0.807617,1177.4008303333335,0.056212,0.20523,0.741561,603.1102096666667,0.068438,0.130219,0.804892,4.6744113333333335,0.062398,0.225945,0.716309,0.192383,0.261442,0.198657,0.288343,0.04863375,0.18657249999999997,0.23520625,452.28438683333343
VPS35,643.3973239999999,0.064981,0.210558,0.728088,1156.5352496666667,0.055337,0.157637,0.788174,512.1693123333333,0.056255,0.111582,0.834244,16.451046,0.070559,0.219397,0.710769,0.275539,0.212974,0.16783700000000001,0.289956,0.06178299999999999,0.1747935,0.2365765,582.138233
COPA,9455.439056333335,0.058293,0.235702,0.710131,3026.499774666667,0.068703,0.217708,0.715692,242.80992566666666,0.071573,0.19476,0.736,17.629461,0.076167,0.199426,0.726084,0.293995,0.286411,0.266333,0.275593,0.068684,0.21189899999999998,0.28058299999999997,3185.594554416667
KAT6B,15.416566999999999,0.056772,0.141091,0.802825,1048.7721103333333,0.059574,0.239791,0.703591,114.54853566666668,0.086317,0.283466,0.635893,1.3725846666666666,0.061487,0.213333,0.730135,0.197863,0.299365,0.369783,0.27482,0.0660375,0.21942024999999998,0.28545775,295.0274494166666
SPPL3,62.015504,0.049656,0.227497,0.722847,1387.1702156666668,0.066152,0.241581,0.694799,136.796537,0.103005,0.224082,0.677009,4.1086990000000005,0.140206,0.235682,0.628246,0.277153,0.307733,0.327087,0.375888,0.08975475,0.2322105,0.32196525,397.52273891666664
GATAD2B,117.56569833333332,0.103539,0.205882,0.691728,708.5626913333334,0.075347,0.241636,0.684663,11.7845115,0.044085,0.061105,0.899368,116.46339833333333,0.060492,0.188988,0.753851,0.309421,0.316983,0.10519,0.24947999999999998,0.07086574999999999,0.17440275,0.2452685,238.59407487500002
RAB12,7.067138,0.021484,0.048828,0.929688,385.11904733333336,0.053039,0.217476,0.734731,18.594104333333334,0.089272,0.19255,0.718178,15.011990333333335,0.057823,0.260777,0.686942,0.070312,0.270515,0.281822,0.3186,0.05540450000000001,0.17990774999999998,0.23531225,106.44807000000002
EIF3I,0.0,0.0,0.0,0.0,2729.3453250000002,0.058072,0.160792,0.783612,2322.7302846666666,0.066447,0.084385,0.850912,19.850102,0.082317,0.12989,0.790689,0.0,0.218864,0.15083200000000002,0.212207,0.051709000000000005,0.09376675,0.14547575000000001,1690.641903888889
KDM5A,13.860014,0.131836,0.330859,0.537305,607.3977226666667,0.06486,0.221777,0.71547,43.140906333333334,0.071366,0.228736,0.703429,7.492689666666667,0.071442,0.246229,0.682678,0.462695,0.28663700000000003,0.300102,0.31767100000000004,0.08487600000000001,0.25690025,0.34177625000000006,167.97283316666667
DOT1L,33.482143,0.027865,0.011719,0.960417,2550.690021,0.090404,0.252766,0.660063,1337.0000483333333,0.087184,0.210479,0.704803,6.256076,0.116643,0.195193,0.694714,0.039584,0.34317,0.297663,0.311836,0.080524,0.16753924999999997,0.24806325,981.8570720833334
RAB11B,140.350877,0.108724,0.090983,0.800293,4715.962441333332,0.091084,0.230743,0.682786,2164.3835616666665,0.088322,0.127154,0.786128,18.49118633333333,0.102434,0.219609,0.682045,0.199707,0.321827,0.215476,0.32204299999999997,0.097641,0.16712225,0.26476325,1759.797016583333
MKRN1,56.419113,0.083227,0.227838,0.689015,2184.038745,0.073598,0.24268,0.684948,264.96902966666664,0.080256,0.266156,0.659159,11.830844,0.131326,0.218907,0.663171,0.31106500000000004,0.316278,0.346412,0.350233,0.09210175,0.23889525,0.330997,629.3144329166666
TSG101,3.7453186666666674,0.13099,0.236979,0.648698,684.7363393333334,0.070927,0.090991,0.839589,173.16982533333336,0.07294,0.087589,0.841457,48.861847666666655,0.067336,0.17063,0.765371,0.367969,0.161918,0.160529,0.237966,0.08554825,0.14654725000000002,0.2320955,227.62833275000003
CD247,25.92264133333333,0.053752,0.234293,0.715012,1593.166879,0.072043,0.225381,0.705428,160.21107,0.076337,0.248325,0.680678,4.886048,0.067171,0.209748,0.72567,0.288045,0.297424,0.324662,0.27691899999999997,0.06732574999999999,0.22943675000000002,0.2967625,446.0466595833334
RAB10,966.9841270000001,0.095748,0.07554,0.831962,8361.419372666667,0.057774,0.21044,0.734588,1225.538972,0.066907,0.068246,0.865968,14.357279,0.07823,0.222518,0.704102,0.171288,0.268214,0.135153,0.300748,0.07466475,0.144186,0.21885075,2642.0749376666668
KAT6A,14.346559,0.057129,0.119324,0.830811,395.98997499999996,0.053137,0.248906,0.698238,59.288756,0.060689,0.163028,0.778189,2.732207666666667,0.078479,0.203283,0.720654,0.176453,0.302043,0.223717,0.28176199999999996,0.0623585,0.18363525,0.24599374999999998,118.08937441666666
BPTF,286.786787,0.126432,0.215928,0.663838,1504.3062203333332,0.059311,0.194461,0.74835,100.64544366666667,0.078466,0.188808,0.736318,15.563651,0.068848,0.226081,0.708603,0.34236,0.253772,0.267274,0.294929,0.08326425,0.2063195,0.28958375000000003,476.8255254999999
STXBP3,122.222222,0.112571,0.005682,0.881747,2364.000000333334,0.050933,0.123753,0.826516,133.96968933333335,0.069888,0.066765,0.864565,10.890070333333334,0.072975,0.216204,0.714491,0.11825300000000001,0.174686,0.13665300000000002,0.289179,0.07659175,0.103101,0.17969275,657.7704955000002
ARPC1A,17.412935,0.041853,0.089844,0.868304,1123.123123,0.083187,0.184447,0.738058,34.740940333333334,0.05169,0.093817,0.859409,7.468522666666666,0.09945,0.191604,0.71194,0.131697,0.267634,0.145507,0.291054,0.069045,0.139928,0.20897299999999996,295.68638025
PICALM,180.91168100000002,0.058302,0.106668,0.838752,6283.600712666666,0.065931,0.207131,0.728386,66.22961866666667,0.080643,0.16666,0.755443,10.040216,0.057277,0.215501,0.727651,0.16497,0.273062,0.247303,0.272778,0.06553825,0.17398999999999998,0.23952825,1635.1955570833331
ERLEC1,20.306154,0.073377,0.219772,0.706851,1697.9849476666668,0.057025,0.118838,0.825695,189.66805433333334,0.057532,0.076975,0.866642,9.329800666666666,0.062966,0.214096,0.725803,0.293149,0.175863,0.134507,0.27706200000000003,0.062725,0.15742024999999998,0.22014525,479.32223916666675
GBF1,239.47591266666663,0.049973,0.242485,0.711173,0.0,0.0,0.0,0.0,96.32368066666668,0.076811,0.116802,0.808104,1.207576,0.059369,0.201521,0.743783,0.292458,0.0,0.193613,0.26089,0.04653825,0.140202,0.18674025,112.33572311111111
OGT,2.4741916666666666,0.060951,0.188443,0.751482,5242.188465,0.05722,0.225246,0.721177,173.66302466666664,0.076518,0.080614,0.843971,14.846518333333334,0.109605,0.222453,0.671925,0.249394,0.282466,0.157132,0.332058,0.0760735,0.179189,0.2552625,1358.2930499166666
AEBP2,281.316348,0.113311,0.2037,0.687559,1312.489862,0.051699,0.221488,0.729477,194.602572,0.091744,0.205444,0.704289,16.980102666666664,0.070514,0.216376,0.716595,0.317011,0.273187,0.297188,0.28689,0.081817,0.211752,0.29356899999999997,451.34722116666666
SETD2,43.03863100000001,0.086659,0.203596,0.715612,299.03475633333335,0.056169,0.166179,0.778865,45.050898666666676,0.066605,0.194862,0.742405,3.639030333333333,0.07388,0.231142,0.697386,0.290255,0.222348,0.261467,0.305022,0.07082825000000001,0.19894474999999998,0.269773,97.69082908333334
ZNF91,0.0,0.0,0.0,0.0,77.16338633333334,0.049259,0.153214,0.799465,33.184191000000006,0.080813,0.199142,0.723161,3.2534880000000004,0.065818,0.231458,0.70333,0.0,0.202473,0.279955,0.297276,0.0489725,0.1459535,0.194926,37.86702177777778
DNMT1,0.0,0.0,0.0,0.0,6609.553478666668,0.079374,0.168133,0.755229,116.81608233333334,0.111448,0.101992,0.791209,2.5108409999999997,0.078088,0.216011,0.71011,0.0,0.247507,0.21344000000000002,0.294099,0.0672275,0.121534,0.1887615,2242.9601340000004
ADGRG3,4.794663333333333,0.074558,0.303668,0.628736,2664.828853666667,0.081881,0.262801,0.660344,115.825994,0.099315,0.146811,0.756351,17.623967333333333,0.077017,0.221438,0.705437,0.378226,0.344682,0.246126,0.298455,0.08319275,0.2336795,0.31687224999999997,700.7683695833333
USO1,72.706935,0.211599,0.138762,0.656791,5612.340711333333,0.056963,0.13644,0.808432,224.50376466666663,0.075821,0.061077,0.86403,5.565486666666666,0.125126,0.233413,0.648823,0.35036100000000003,0.193403,0.136898,0.358539,0.11737724999999999,0.142423,0.25980025,1478.7792244166667
RTF1,0.0,0.0,0.0,0.0,1865.3222070000002,0.054576,0.244674,0.704619,60.165651000000004,0.055337,0.081646,0.863413,3.390897333333333,0.091256,0.213869,0.701944,0.0,0.29925,0.136983,0.305125,0.05029225,0.13504725,0.1853395,642.9595851111112
SNF8,35.145524333333334,0.149109,0.079163,0.787903,1471.1610486666668,0.092775,0.233872,0.678105,229.90952633333336,0.083327,0.133738,0.786335,24.61713233333333,0.090903,0.267065,0.646266,0.22827199999999997,0.326647,0.217065,0.357968,0.1040285,0.1784595,0.282488,440.2083079166667
CCRL2,98.29059833333334,0.061906,0.173276,0.764818,296.3235293333333,0.052213,0.253683,0.700653,729.5362586666666,0.062497,0.242526,0.701658,12.368893,0.061227,0.212428,0.728442,0.235182,0.305896,0.305023,0.273655,0.05946075,0.22047825,0.279939,284.12981983333333
KDM4C,256.23228666666665,0.077812,0.202137,0.72334,36.11362966666667,0.043034,0.147408,0.809803,86.54595033333334,0.073256,0.097384,0.830159,4.202674333333333,0.077578,0.227633,0.699028,0.279949,0.190442,0.17064000000000001,0.305211,0.06792,0.1686405,0.2365605,95.77363525
TNPO1,22.063208,0.037796,0.195735,0.76647,474.1743053333334,0.060348,0.230372,0.712937,3.3100405,0.113932,0.032118,0.85395,265.0611833333333,0.04321,0.10932,0.848262,0.233531,0.29072,0.14605,0.15253,0.0638215,0.14188625,0.20570775000000002,191.15218429166669
FBXO11,54.395682666666666,0.095545,0.189519,0.718638,2725.271811,0.064807,0.175274,0.762384,996.8448133333333,0.061092,0.174062,0.768018,12.661537000000001,0.082742,0.198635,0.721055,0.285064,0.24008100000000002,0.235154,0.281377,0.0760465,0.18437250000000002,0.26041899999999996,947.293461
NPEPPS,12.145749,0.0,0.05599,0.94401,4966.322517333334,0.056564,0.208491,0.738155,148.51368800000003,0.068152,0.084859,0.848586,5.693829333333333,0.084045,0.175434,0.747004,0.05599,0.26505500000000004,0.153011,0.259479,0.05219025,0.13119350000000002,0.18338375,1283.1689459166669
SLFN12L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.127052000000003,0.034684,0.282762,0.686303,0.09965800000000001,0.06033,0.07921,0.86046,0.0,0.0,0.317446,0.13954,0.0237535,0.090493,0.1142465,11.113355000000002
PBRM1,201.05062066666667,0.051064,0.073026,0.877974,2074.691358,0.055651,0.222607,0.722413,860.8625666666667,0.069022,0.125969,0.807357,9.943234666666665,0.088515,0.214514,0.701887,0.12408999999999999,0.278258,0.194991,0.303029,0.066063,0.159029,0.225092,786.6369450000001
KDM4A,422.34030766666666,0.085359,0.227377,0.69074,324.6229533333333,0.075937,0.238955,0.689209,41.30724466666666,0.118534,0.096343,0.788552,4.345358999999999,0.085797,0.221216,0.696769,0.312736,0.314892,0.21487699999999998,0.307013,0.09140675000000001,0.19597274999999997,0.2873795,198.15396616666666
OSBP,54.545455,0.070312,0.070312,0.859375,1906.0887513333334,0.060802,0.24584,0.694324,73.569857,0.055221,0.218633,0.728651,3.5093460000000003,0.02958,0.251397,0.719023,0.140624,0.306642,0.273854,0.280977,0.05397875,0.19654549999999998,0.25052425,509.42835233333335
ARID2,150.12722633333334,0.066605,0.147709,0.799258,1666.542102666667,0.069737,0.258247,0.672905,37.131108,0.042644,0.175851,0.784075,2.1347126666666667,0.055859,0.149383,0.797881,0.214314,0.327984,0.218495,0.20524199999999998,0.05871124999999999,0.1827975,0.24150875,463.98378741666676
PUM1,0.0,0.0,0.0,0.0,2903.715064666667,0.049474,0.228054,0.723219,17.475002333333332,0.055544,0.242626,0.704713,13.987099666666667,0.084043,0.251977,0.666414,0.0,0.277528,0.29817,0.33602,0.04726525,0.18066425,0.2279295,978.392388888889
COPE,597.7218223333333,0.084475,0.208609,0.71112,1230.3587646666667,0.091249,0.077779,0.83447,983.9244523333333,0.100222,0.108659,0.794336,9.496712666666667,0.102685,0.185903,0.715808,0.293084,0.169028,0.208881,0.288588,0.09465775000000001,0.1452375,0.23989525,705.3754379999999
RAB1A,791.4751586666667,0.080526,0.239706,0.685344,1280.2936736666666,0.056731,0.197015,0.74759,440.295067,0.058662,0.234279,0.710506,15.181438666666667,0.079461,0.216726,0.706412,0.320232,0.25374599999999997,0.292941,0.296187,0.06884499999999999,0.2219315,0.2907765,631.8113344999999
CD6,2494.775005666667,0.093521,0.247445,0.663399,0.0,0.0,0.0,0.0,85.53396433333334,0.115352,0.086688,0.799917,2.3304933333333335,0.070374,0.186792,0.742834,0.340966,0.0,0.20204,0.257166,0.06981175,0.13023125000000002,0.200043,860.8798211111111
TRMT61B,56.022409,0.051465,0.152344,0.796191,688.6354033333333,0.049195,0.145185,0.806552,472.36251433333337,0.048625,0.117512,0.834889,8.456983,0.054973,0.236551,0.709539,0.20380900000000002,0.19438,0.166137,0.291524,0.0510645,0.16289800000000002,0.2139625,306.3693274166667
MYB,4267.782426666667,0.05544,0.186225,0.760936,0.0,0.0,0.0,0.0,1057.742782,0.075449,0.085239,0.842101,363.5297236666667,0.074244,0.210403,0.720334,0.24166500000000002,0.0,0.160688,0.284647,0.05128325,0.12046675,0.17175,1896.3516441111112
BORCS8,157.04153999999997,0.124815,0.102655,0.775202,1052.6918673333332,0.079318,0.165377,0.757699,748.994253,0.103175,0.148601,0.750362,23.644028333333335,0.091098,0.186576,0.727553,0.22747,0.244695,0.251776,0.277674,0.09960150000000001,0.15080225,0.25040375,495.5929221666666
PPP1R12A,60.441549,0.119632,0.200037,0.682038,2725.274725333333,0.059056,0.226898,0.714435,17.997629,0.066897,0.219265,0.717978,16.649007666666666,0.098707,0.262955,0.640762,0.319669,0.285954,0.28616199999999997,0.361662,0.086073,0.22728874999999998,0.31336175,705.09072775
RAB6B,64.93682,0.056582,0.126297,0.818487,540.6180313333333,0.059877,0.229738,0.714513,467.20940733333333,0.068433,0.093124,0.839825,0.169402,0.020616,0.19184,0.787543,0.18287899999999999,0.289615,0.161557,0.212456,0.051377,0.16024975,0.21162674999999997,268.23341516666665
ARPC3,255.52050466666665,0.064847,0.085745,0.849537,3104.166666333333,0.059078,0.144617,0.798975,420.919975,0.070223,0.128661,0.805216,230.77537700000002,0.073861,0.262698,0.669414,0.150592,0.203695,0.198884,0.336559,0.06700225,0.15543025,0.22243250000000003,1002.8456307499998
SEC31A,11.128776,0.053106,0.215495,0.731399,2354.6568626666667,0.060964,0.158372,0.782666,280.530103,0.060697,0.170335,0.770898,19.318758,0.05474,0.208923,0.739396,0.268601,0.219336,0.231032,0.263663,0.057376750000000004,0.18828124999999998,0.245658,666.4086249166667
ZNF891,86.41975333333333,0.070787,0.315458,0.616574,390.0355873333333,0.049429,0.246676,0.706538,240.889683,0.056505,0.199671,0.749263,15.106481,0.101882,0.243706,0.657948,0.386245,0.296105,0.25617599999999996,0.345588,0.06965075000000001,0.25137775,0.3210285,183.11287616666667
ACTR10,57.9710145,0.010742,0.20166,0.787598,2678.3517836666665,0.053713,0.128719,0.819164,1040.6698566666666,0.059564,0.07794,0.863816,18.349456,0.08192,0.205032,0.719979,0.212402,0.18243199999999998,0.137504,0.286952,0.051484749999999996,0.15333775,0.2048225,948.8355277083333
CAPZA2,0.0,0.0,0.0,0.0,2336.6810136666663,0.054329,0.166543,0.781693,1190.863337,0.065256,0.056585,0.878513,2.432821666666667,0.102054,0.139188,0.763952,0.0,0.220872,0.121841,0.241242,0.05540975,0.09057899999999999,0.14598875,1176.6590574444442
DIABLO,11.498733000000001,0.067841,0.240863,0.695886,1581.6764133333336,0.071064,0.191958,0.738888,125.621459,0.075218,0.197806,0.730366,3.9227413333333327,0.089489,0.213049,0.69986,0.308704,0.263022,0.273024,0.302538,0.075903,0.21091900000000002,0.28682199999999997,430.6798366666667
EP300,67.80870800000001,0.321012,0.148766,0.536554,3110.020815,0.06408,0.250178,0.688658,133.65539466666667,0.086392,0.256704,0.659593,4.294387666666666,0.052213,0.219558,0.728833,0.46977800000000003,0.31425800000000004,0.34309599999999996,0.271771,0.13092425,0.2188015,0.34972575,828.9448263333334
UBE2D2,597.1113646666668,0.059705,0.090341,0.851838,4316.789216,0.070706,0.180241,0.752533,2123.873873666667,0.077958,0.067424,0.855166,2.9272370000000003,0.099172,0.267471,0.644125,0.150046,0.25094700000000003,0.145382,0.366643,0.07688525,0.15136925,0.22825450000000003,1760.1754228333334
SIN3A,56.59309566666666,0.102461,0.276992,0.622188,1990.4200443333336,0.066297,0.238691,0.696369,323.66113966666666,0.095999,0.21285,0.693754,26.099135999999998,0.086539,0.240588,0.674506,0.37945300000000004,0.304988,0.30884900000000004,0.327127,0.08782400000000001,0.24228025,0.33010425000000004,599.1933539166666
ATG13,711.9021640000001,0.078764,0.227959,0.697574,913.2203033333335,0.08796,0.274642,0.638887,116.745381,0.073731,0.14271,0.785109,9.000816333333333,0.083853,0.223641,0.696217,0.30672299999999997,0.362602,0.216441,0.307494,0.081077,0.217238,0.298315,437.71716616666674
BLCAP,20.554984666666666,0.169401,0.291406,0.544987,2272.9398816666667,0.073972,0.268574,0.65797,78.31014933333333,0.063811,0.170179,0.76601,9.239516666666667,0.073985,0.229951,0.699286,0.46080699999999997,0.34254599999999996,0.23399,0.303936,0.09529225,0.24002749999999998,0.33531974999999997,595.2611330833333
ALG9,20.56432333333333,0.064362,0.232286,0.703352,82.30275666666667,0.059057,0.187461,0.753571,183.135372,0.068823,0.189843,0.742901,5.680940333333333,0.066786,0.245178,0.692952,0.296648,0.246518,0.258666,0.311964,0.064757,0.213692,0.27844900000000006,72.92084808333334
VPS41,0.0,0.0,0.0,0.0,648.9405053333334,0.063884,0.184518,0.752436,28.20013,0.08826,0.151606,0.763789,1.2876003333333335,0.060225,0.246581,0.693536,0.0,0.24840199999999998,0.239866,0.306806,0.05309225,0.14567625,0.19876850000000001,226.14274522222226
RAB6A,7.7821015,0.006836,0.260254,0.73291,5248.525073666667,0.048986,0.2219,0.730247,81.40063666666667,0.05903,0.232345,0.710414,1.3709766666666665,0.074415,0.213818,0.711767,0.26709,0.27088599999999996,0.291375,0.288233,0.047316750000000005,0.23207925000000001,0.279396,1334.769697125
CHD4,43.38624333333333,0.063072,0.175972,0.760957,6925.632563333334,0.071453,0.154069,0.776457,470.5415276666666,0.072719,0.133874,0.795991,12.248844333333333,0.089396,0.233099,0.679744,0.23904399999999998,0.225522,0.206593,0.322495,0.07416,0.1742535,0.24841349999999998,1862.9522946666666
